,infuse_oa_lyr_2011,new_labels
1150,E00001189,0
1151,E00001191,0
1152,E00001192,0
1153,E00001193,0
1154,E00001194,1
1155,E00001195,0
1156,E00001196,0
1157,E00001197,1
1158,E00001198,3
1159,E00001199,0
1160,E00001200,3
1161,E00001201,0
1162,E00001202,3
1163,E00001203,0
1164,E00001204,2
1165,E00001205,2
1166,E00001206,1
1167,E00001207,3
1168,E00001208,0
1169,E00001209,4
1170,E00001210,3
1171,E00001211,0
1172,E00001212,0
1173,E00001213,1
1174,E00001214,0
1175,E00001215,4
1176,E00001216,1
1177,E00001217,4
1178,E00001218,0
1179,E00001219,2
1180,E00001220,0
1181,E00001221,3
1182,E00001222,3
1183,E00001223,4
1184,E00001224,2
1185,E00001225,0
1186,E00001226,0
1187,E00001227,1
1188,E00001228,2
1189,E00001229,1
1190,E00001230,0
1191,E00001231,3
1192,E00001232,3
1193,E00001233,2
1194,E00001234,0
1195,E00001235,0
1196,E00001236,4
1197,E00001237,0
1198,E00001238,1
1199,E00001239,3
1200,E00001240,2
1201,E00001241,3
1202,E00001242,0
1203,E00001243,2
1204,E00001244,1
1205,E00001245,2
1206,E00001246,0
1207,E00001247,0
1208,E00001248,0
1209,E00001249,4
1210,E00001250,3
1211,E00001251,0
1212,E00001252,3
1213,E00001253,2
1214,E00001254,0
1215,E00001255,0
1216,E00001256,2
1217,E00001257,3
1218,E00001258,4
1219,E00001259,0
1220,E00001260,0
1221,E00001261,0
1222,E00001262,0
1223,E00001263,0
1224,E00001265,3
1225,E00001266,4
1226,E00001267,3
1227,E00001268,4
1228,E00001269,0
1229,E00001270,2
1230,E00001271,0
1231,E00001272,4
1232,E00001273,1
1233,E00001274,2
1234,E00001275,0
1235,E00001276,2
1236,E00001277,0
1237,E00001278,0
1238,E00001279,2
1239,E00001280,3
1240,E00001281,0
1241,E00001282,0
1242,E00001283,0
1243,E00001284,3
1244,E00001285,0
1245,E00001286,2
1246,E00001288,3
1247,E00001289,1
1248,E00001290,4
1249,E00001291,0
1250,E00001292,2
1251,E00001293,0
1252,E00001294,0
1253,E00001295,0
1254,E00001296,4
1255,E00001297,0
1256,E00001298,4
1257,E00001299,0
1258,E00001300,3
1259,E00001301,3
1260,E00001302,0
1261,E00001303,4
1262,E00001304,2
1263,E00001305,4
1264,E00001306,2
1265,E00001307,0
1266,E00001308,2
1267,E00001309,2
1268,E00001310,0
1269,E00001311,3
1270,E00001312,0
1271,E00001313,2
1272,E00001314,1
1273,E00001315,0
1274,E00001316,3
