,index,Agriculture,Green space and recreational land,High density residential with retail and commercial sites,Industrial areas,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Principle Transport,Urban centres - mainly commercial/retail with residential pockets,Water,new_labels_0,new_labels_1,new_labels_2,new_labels_3,new_labels_4,new_labels_5,new_labels_6,new_labels_7,new_labels_8,supergroup
127,E00007839,0.0,8077.65,14190.72,0.0,0.0,6962.11,0.0,0.0,0.0,0.0,1,1,3,0,1,1,0,2,1,2
128,E00006091,0.0,4.74,0.0,0.54,0.0,39241.33,18864.81,0.0,0.0,0.0,2,3,4,4,1,4,4,2,2,2
129,E00010345,0.0,0.0,27165.09,0.0,0.0,0.0,67.03,0.0,0.0,0.0,2,5,4,1,0,1,2,0,3,2
130,E00006593,3551.16,3616.88,0.0,0.0,0.0,46502.08,10270.48,6064.83,0.0,0.0,4,1,6,5,2,3,0,1,5,5
131,E00005477,0.0,388.56,27406.33,0.0,0.0,0.0,6890.96,3778.6,0.0,0.0,4,0,2,0,1,1,0,4,1,8
132,E00001040,0.0,1384.77,0.0,0.0,0.0,13225.96,48052.28,0.0,164.03,0.0,2,5,3,3,3,3,0,0,2,8
133,E00002442,0.0,1398.8,690.81,0.0,0.0,38.28,49315.78,596.71,0.0,0.0,4,2,3,4,3,3,0,4,3,5
134,E00003568,0.0,61834.3,0.0,0.0,0.0,48145.56,0.0,993.52,0.0,0.0,2,3,4,5,3,4,1,1,2,4
135,E00005290,0.0,3128.69,1450.04,0.0,0.0,19090.17,27440.75,4243.85,0.0,0.0,2,3,3,1,3,1,0,2,1,5
136,E00008206,0.0,1593.5,0.0,0.0,0.0,12853.56,28668.56,0.0,0.0,0.0,1,6,3,1,4,1,0,0,1,5
137,E00022348,0.0,0.0,218.55,47.13,0.0,0.0,0.0,0.0,24223.72,0.0,5,6,4,3,1,2,2,1,3,5
138,E00005613,0.0,7192.66,14867.37,0.0,0.0,23534.3,0.0,0.0,0.0,0.0,2,3,2,1,1,1,3,2,1,5
139,E00001320,0.0,9257.25,0.0,0.0,0.0,36070.0,39009.03,0.0,0.0,0.0,1,1,4,6,0,4,3,2,5,6
140,E00014071,0.0,0.0,6289.360000000001,0.0,0.0,0.0,0.0,0.0,13568.44,0.0,1,1,4,3,1,3,0,2,5,2
141,E00015899,0.0,0.0,16428.26,0.0,40.56,295.88,11792.57,0.0,0.0,0.0,1,3,2,3,0,4,0,4,3,3
142,E00006990,0.0,3312.34,0.0,0.0,0.0,27709.42,266.74,0.0,0.0,0.0,3,4,3,3,1,1,1,2,3,2
143,E00009850,0.0,3559.14,23742.09,0.0,0.0,68.89,0.0,0.0,0.0,0.0,4,4,3,6,4,2,2,2,2,3
144,E00007406,0.0,0.0,6614.21,0.0,0.0,28312.98,3459.36,0.0,0.0,0.0,2,3,6,0,4,1,3,1,2,5
145,E00003203,0.0,29125.18,0.0,0.0,0.0,77631.4,0.0,0.0,0.0,0.0,1,1,4,0,3,1,2,1,1,6
146,E00015682,0.0,11502.24,26257.19,0.0,0.0,500.99,0.0,0.0,116.08,0.0,0,3,0,5,2,2,3,0,0,3
147,E00176231,0.0,0.0,1699.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,4,1,3,4,2,2,4,3
148,E00010617,0.0,85.64,6670.6,0.0,0.0,20579.26,29444.15,7469.62,0.0,0.0,1,1,3,3,0,4,2,1,1,5
149,E00014906,0.0,0.0,2153.84,0.0,0.0,15497.7,0.0,2061.32,0.0,0.0,1,3,2,0,4,4,2,2,0,2
150,E00011373,0.0,74352.34,0.0,0.0,5462.56,49913.35,25419.85,0.0,0.0,6800.0,1,1,2,0,3,4,1,1,5,4
151,E00009171,0.0,0.0,18139.53,0.0,0.0,0.0,0.0,2816.08,0.26,0.0,2,2,1,3,4,4,0,0,3,3
152,E00006683,0.0,220206.07,5401.8,0.0,0.0,30128.79,0.0,0.0,0.0,1594.3,5,1,6,5,2,3,4,4,2,5
